,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
90,Age of Conan Rise of the Godslayer,1.0,4.6,8.81057268722467e-05,17087.0,Role-Playing,M,PC,Funcom,Funcom,7.9,,,0.03,,0.02,,0.0,2010.0
92,Age of Empires II HD Edition,200.0,6858.499999999999,0.01762114537444934,186.0,Strategy,,PC,Microsoft Studios,Hidden Path Entertainment,,,5.82,,,,,,2013.0
93,Age of Empires III Complete Collection,83.0,1422.1000000000001,0.0073127753303964755,9768.0,Strategy,T,PC,Microsoft Game Studios,Ensemble Studios,,,,0.17,0.01,0.13,,0.03,2009.0
94,Age of Empires Online,8.0,665.5999999999999,0.0007048458149779736,14380.0,Strategy,E10,PC,Microsoft Game Studios,Microsoft Game Studios,7.0,,,0.06,0.01,0.04,,0.01,2011.0
96,Age of Wonders,2.0,32.8,0.0001762114537444934,22058.0,Strategy,E,PC,Gathering of Developers,Triumph Studios,8.4,,,,,,,,1999.0
99,Age of Wonders Shadow Magic,2.0,35.8,0.0001762114537444934,22062.0,Strategy,T,PC,Gathering of Developers,Triumph Studios,,,,,,,,,2003.0
100,Aggression Europe Under Fire,1.0,0.6,8.81057268722467e-05,22080.0,Misc,,PC,Buka Entertainment,Unknown,,,,,,,,,2007.0
110,Airline Tycoon 2,5.0,31.0,0.0004405286343612335,14906.0,Simulation,E,PC,Kalypso,Kalypso Media,,,,0.05,0.0,0.04,,0.01,2011.0
111,Airline Tycoon Deluxe,1.0,0.6,8.81057268722467e-05,21099.0,Strategy,,PC,Spellbound,Spellbound,,,,0.0,,0.0,,0.0,2003.0
114,Akane the Kunoichi,2.0,3.3,0.0001762114537444934,22216.0,Misc,,PC,Haruneko,Unknown,,,,,,,,,2014.0
